單字,翻譯,英文例句,中文例句
predict,預測,Analysts predict a rise in market demand.,分析師預測市場需求將上升。
preference,偏好,What’s your seating preference?,你偏好哪種座位？
prepare,準備,We need to prepare for the audit.,我們要為稽核做好準備。
prepay,預付,You can prepay your subscription for a discount.,預付訂閱可享有折扣。
preparation,準備,Preparation is key to a successful interview.,面試成功的關鍵在於準備。
prerequisite,先決條件,A degree is a prerequisite for this position.,這個職位的先決條件是學位。
presentation,簡報、報告,She gave an excellent presentation.,她的簡報非常出色。
preserve,保護、保存,We must preserve confidential information.,我們必須保護機密資訊。
press release,新聞稿,The company issued a press release yesterday.,公司昨天發佈了新聞稿。
pressure,壓力,He performs well under pressure.,他在壓力下表現良好。
prestige,聲望,Working for that firm brings prestige.,為那家公司工作會帶來聲望。
previous,先前的,I met her at the previous conference.,我在上次的會議中遇到她。
price range,價格範圍,This product is within our price range.,這產品在我們的價格範圍內。
primary,主要的,The primary goal is customer satisfaction.,主要目標是顧客滿意。
principal,主要的；資金,The principal investor approved the plan.,主要投資者批准了該計畫。
printout,列印文件,Please bring a printout of your résumé.,請帶一份你的履歷列印本。
priority,優先事項,Safety is our top priority.,安全是我們最優先考量的事。
privacy,隱私,We respect your privacy.,我們尊重你的隱私。
procedure,程序、步驟,Follow the safety procedures carefully.,請仔細遵循安全程序。
proceed,進行,Let’s proceed with the presentation.,讓我們繼續進行簡報。
process,過程、處理,We are streamlining the approval process.,我們正在簡化審核流程。
procurement,採購,The procurement team placed the order.,採購團隊已下訂單。
produce,生產,This factory produces electronic parts.,這間工廠生產電子零件。
product,產品,The new product will launch next month.,新產品將於下月推出。
productivity,生產力,Automation improves productivity.,自動化提升了生產力。
professional,專業的,She gave a professional response.,她給出了一個專業的回答。
profile,簡介、輪廓,Update your LinkedIn profile regularly.,定期更新你的 LinkedIn 簡介。
profit,利潤,The company saw a 12% increase in profit.,公司利潤增加了12%。
profitability,獲利能力,We need to assess the profitability of this project.,我們需評估這項專案的獲利能力。
program,計畫、程式,The internship program lasts 3 months.,實習計畫為期三個月。
progress,進展,We’ve made good progress this quarter.,這一季我們有不錯的進展。
prohibit,禁止,Smoking is prohibited in the office.,辦公室內禁止吸菸。
project,專案、預測,She’s managing a major IT project.,她正在管理一個大型資訊專案。
projection,預估、預測,Sales projections show strong growth.,銷售預測顯示出強勁成長。
promotion,升遷、促銷,He got a promotion last month.,他上個月升遷了。
prompt,迅速的、提示,Thank you for your prompt response.,感謝您迅速的回覆。
proof,證明、校樣,We need proof of purchase.,我們需要購買證明。
proposal,提案,The proposal will be reviewed by the board.,提案將由董事會審查。
prospect,潛在客戶、前景,She’s meeting with several new prospects.,她將會見幾位潛在客戶。
protect,保護,This policy protects both employees and employers.,這項政策保障員工與雇主雙方。
protocol,協議、規範,Please follow the company protocol.,請遵守公司規範。
prove,證明,He proved he could handle the job.,他證明了自己能勝任這份工作。
provide,提供,We provide 24/7 customer support.,我們提供全天候客服支援。
provider,供應商,The internet provider is experiencing outages.,網路供應商目前正在斷線中。
provision,供應、條款,The contract includes a confidentiality provision.,合約中包含保密條款。
public,公共的、公眾,The report will be made public.,該報告將會對外公開。
publication,出版物,The company issued its annual publication.,公司發行了年度出版品。
publicity,宣傳,The campaign generated a lot of publicity.,這次活動獲得大量宣傳。
purchase,購買,All purchases must be approved.,所有購買都必須經核准。
purchaser,購買者,The purchaser signed the agreement.,購買者已簽署協議。
purpose,目的,The purpose of the meeting is to finalize the plan.,會議目的是敲定計畫。
pursue,追求、追蹤,We continue to pursue innovation.,我們持續追求創新。
qualification,資格、資歷,He has the qualifications for the position.,他具備這個職位的資格。
qualified,合格的、有資格的,Only qualified applicants will be contacted.,只有合格的申請人會被聯絡。
qualify,取得資格,She qualified for the promotion.,她取得了升遷的資格。
quality,品質,Our goal is to maintain product quality.,我們的目標是維持產品品質。
quality control,品質管控,The quality control team inspects every batch.,品管團隊檢查每一批貨品。
quarter,季度,Sales increased in the third quarter.,第三季度的銷售額上升了。
quarterly,每季的,"We have a quarterly meeting every March, June, September, and December.",我們每三個月開一次會。
query,查詢、疑問,I sent a query to customer support.,我發了一個問題給客服。
question,問題,Please let me know if you have any questions.,若有任何問題請告知。
questionnaire,問卷,Please complete the questionnaire after the session.,課程後請填寫問卷。
quick,迅速的,She gave a quick response to the request.,她迅速回應了那個請求。
quickly,很快地,The issue was resolved quickly.,問題很快就解決了。
quit,辭職、停止,He quit his job due to health issues.,他因健康問題而辭職。
quota,配額、限額,Each employee has a monthly sales quota.,每位員工每月有銷售配額。
quotation,報價單,Can you send me a price quotation?,你可以寄給我報價單嗎？
quote,引用、報價,They quoted $500 for the repair.,他們報價500元修理費。
quiet,安靜的,Please keep the office quiet during meetings.,會議時請保持辦公室安靜。
qualify for discount,符合折扣資格,Orders over $100 qualify for a discount.,訂單超過100元可享有折扣。
question time,提問時間,We will have a short question time after the presentation.,簡報後會有一段提問時間。
quick access,快速存取,Use bookmarks for quick access to important files.,用書籤快速存取重要文件。
queue,排隊、佇列,Please queue in an orderly fashion.,請有秩序地排隊。
quality assurance,品質保證,The product passed quality assurance testing.,該產品通過了品質保證測試。
quarterly report,季報,The CFO presented the quarterly report to the board.,財務長向董事會報告了季報。
qualified candidate,合格人選,We’re still searching for a qualified candidate.,我們仍在尋找合格人選。
quotation request,報價需求,Please submit a quotation request form.,請提交報價需求表格。
quotation system,報價系統,The new quotation system is more efficient.,新的報價系統更有效率。
query form,查詢表單,Fill out the query form for support.,填寫查詢表單以獲得支援。
quiet zone,安靜區,"This is a quiet zone, please silence your phones.",這裡是安靜區，請將手機靜音。
quality policy,品質政策,The company updated its quality policy.,公司更新了品質政策。
quarter-end,季末,The finance team is busy with quarter-end reports.,財務部正忙著季末報表。
quarter-over-quarter,季對季,There was a 7% quarter-over-quarter increase.,季對季增長了7%。
quick fix,臨時解決方案,"This is just a quick fix, not a permanent solution.",這只是臨時方案，不是長遠之計。
qualified supplier,合格供應商,We only work with qualified suppliers.,我們只與合格供應商合作。
question mark,問號；疑慮,There's still a question mark over the budget.,預算仍有疑慮。
quick response,快速反應,We appreciate your quick response.,感謝您的迅速回覆。
quiz,測驗、小考,There will be a short quiz at the end of the training.,培訓結束時會有小測驗。
quotation approval,報價審核,The sales manager handles quotation approvals.,業務經理負責報價審核。
quotation number,報價單號碼,Refer to the quotation number in your order.,請在訂單中註明報價單號。
qualify as,被認定為,He qualifies as a licensed technician.,他被認定為合格技術員。
quiet working area,安靜工作區,We provide a quiet working area for concentration.,我們提供安靜工作區以利專注。
quarterly earnings,季度盈餘,The company announced strong quarterly earnings.,公司公佈了強勁的季度盈餘。
question sheet,問題單,Please fill in the question sheet after the session.,活動後請填寫問題單。
quotation template,報價模板,Use the new quotation template for all estimates.,所有估價請使用新報價模板。
quotation deadline,報價截止日,The quotation deadline is Friday.,報價截止日是星期五。
quality review,品質審查,A quality review will be conducted next week.,下週將進行品質審查。
question bank,題庫,The TOEIC test uses a large question bank.,多益測驗使用龐大的題庫。
quota system,配額制度,The quota system limits monthly exports.,配額制度限制了每月出口量。
quarterly bonus,季獎金,Employees receive a quarterly bonus based on performance.,員工依表現獲得季獎金。
raise,提高、加薪,She asked for a raise last month.,她上個月提出加薪要求。
range,範圍,This product comes in a wide range of colors.,這項產品有多種顏色可選。
rate,比率、費率,The hotel offers a discounted rate for groups.,飯店提供團體優惠價。
rating,評分、評價,The product received a high customer rating.,這產品獲得了高評價。
reach,達成、聯繫到,You can reach me via email.,你可以用電子郵件聯繫我。
reaction,反應,His reaction was very positive.,他的反應非常正面。
readjust,重新調整,We need to readjust the budget.,我們需要重新調整預算。
ready,準備好的,The documents are ready for review.,文件已準備好供審閱。
real estate,房地產,He invested in commercial real estate.,他投資了商業房地產。
realize,實現、意識到,She realized the importance of teamwork.,她意識到團隊合作的重要性。
receipt,收據,Please keep your receipt for reference.,請保留收據以供查詢。
receive,接收、收到,We received your application.,我們已收到你的申請。
recent,最近的,I’ve read their recent report.,我讀過他們最近的報告。
reception,接待、歡迎會,The reception will be held in the lobby.,接待會在大廳舉行。
receptionist,接待員,The receptionist will assist you.,接待員會協助您。
recognition,認可、表彰,She received recognition for her work.,她因工作表現而受到表揚。
recognize,認可、認出,We recognize your contribution to the team.,我們肯定你對團隊的貢獻。
recommend,推薦,I highly recommend this product.,我強烈推薦這項產品。
recommendation,推薦信、建議,He gave a glowing recommendation.,他給了非常好的推薦。
record,紀錄、錄音,We need to keep a record of all expenses.,我們需要記錄所有支出。
recording,錄音、錄影,The meeting was saved as a recording.,會議已錄音保存。
recover,恢復,The company is starting to recover from the loss.,公司正從虧損中復原。
recruitment,招募,Recruitment for new staff begins next week.,新員工招募將於下週開始。
reduce,減少,We aim to reduce costs by 10%.,我們目標是將成本降低10%。
reduction,降低、減少量,There was a significant reduction in overhead.,營運開銷大幅下降。
reference,參考、推薦人,Please provide at least one reference.,請提供至少一位推薦人。
refund,退款,Customers may request a refund within 7 days.,顧客可於7日內申請退款。
refuse,拒絕,He refused to sign the contract.,他拒絕簽署合約。
regarding,關於,I have a question regarding the proposal.,我對提案有一個問題。
regardless,不論如何,We’ll continue regardless of the weather.,無論天氣如何我們都會繼續。
register,註冊、登記,You must register for the seminar in advance.,你必須事先註冊研討會。
registration,報名、登記,Registration will close on Friday.,報名將在週五截止。
regular,定期的、普通的,We have regular team meetings.,我們定期舉行團隊會議。
regulation,規則、法規,Please follow all safety regulations.,請遵守所有安全規定。
reject,拒絕、退件,The bank rejected his loan application.,銀行拒絕了他的貸款申請。
relate,涉及、有關聯,This report relates to last year’s performance.,這份報告和去年的表現有關。
relation,關係,Our business relation with them is strong.,我們和他們的業務關係穩固。
relationship,關係、交情,We value our relationship with all clients.,我們重視與所有客戶的關係。
release,發布、釋放,The company released a new version of the app.,公司發布了新版應用程式。
relevant,相關的,Please include all relevant documents.,請附上所有相關文件。
reliable,可靠的,This vendor is known for reliable service.,這位供應商以可靠服務聞名。
relocate,搬遷,Our headquarters will relocate next year.,我們的總部將於明年搬遷。
relocation,搬遷（名詞）,He received a relocation allowance.,他獲得搬遷補助金。
remain,仍然、保持,She will remain in her current position.,她將繼續擔任目前職務。
reminder,提醒,I set a reminder for the meeting.,我設了會議提醒。
remote,遠端的,More employees are working remotely.,越來越多員工進行遠端工作。
remove,移除、撤除,Please remove outdated files.,請移除過時檔案。
renew,續約、延長,You need to renew your subscription.,你需要續訂服務。
rent,租金、租用,We rent office space downtown.,我們在市中心租了辦公空間。
repair,修理,The air conditioner needs repair.,空調需要維修。
salary,薪資,She receives her salary on the 25th of every month.,她每月25號領薪水。
sale,特賣、銷售,All items are on sale this week.,本週所有商品特賣中。
salesperson,業務員,The salesperson helped me find the right product.,業務員幫我找到適合的產品。
sample,樣品,Please take a free sample at the counter.,請在櫃檯拿取免費樣品。
satisfaction,滿意,Customer satisfaction is our top priority.,顧客滿意是我們的首要任務。
satisfy,滿足,This product satisfies our needs.,這個產品滿足我們的需求。
save,儲存、節省,Save your work before closing the file.,關檔前請儲存你的工作內容。
saving,節省、儲蓄,Energy saving is essential for the environment.,節能對環境至關重要。
schedule,時程表,The meeting is scheduled for 2 PM.,會議預定下午兩點舉行。
scheduled,安排好的,The delivery is scheduled for Monday.,配送安排在星期一。
scheme,方案、計畫,The new bonus scheme motivates employees.,新的獎金方案能激勵員工。
school,學校,He studied marketing in business school.,他在商學院學習行銷。
science,科學,Data science is growing rapidly in the business world.,資料科學在商業界迅速成長。
screen,螢幕、篩選,Please don’t touch the screen.,請勿碰觸螢幕。
script,劇本、稿件,He followed the script during the presentation.,他在簡報中照著稿子講。
search,搜尋,I’m searching for a new supplier.,我正在尋找新的供應商。
seat,座位,Please take your seat before the meeting starts.,會議開始前請就座。
secondhand,二手的,They bought secondhand furniture to save costs.,他們買二手家具來節省成本。
secretary,秘書,The secretary arranged the appointments.,秘書安排了會議。
secure,安全的、保護,The website is secure.,這個網站是安全的。
security,安全、保全,Please wear your security badge.,請配戴你的識別證。
seek,尋求,We are seeking new partnerships.,我們正在尋求新的合作夥伴。
select,選擇,Select your preferred payment method.,選擇你偏好的付款方式。
selection,選擇、選集,There is a wide selection of products.,有各種產品可供選擇。
sell,販售,They sell office supplies online.,他們在線上販售辦公用品。
seller,賣家,The seller offered a discount.,賣家提供了折扣。
seminar,研討會,I attended a marketing seminar last week.,我上週參加了一場行銷研討會。
send,傳送,Please send the file before noon.,請在中午前傳送檔案。
senior,資深的,She is a senior manager.,她是資深經理。
sense,感覺、意義,That doesn’t make any sense.,那沒有任何道理。
sensitive,敏感的,This is sensitive information.,這是機密資訊。
sentence,句子,Write a sentence using the word “support.”,用「support」寫一個句子。
separate,分開、獨立的,Please send a separate invoice.,請寄送一張獨立的發票。
service,服務,We provide 24/7 customer service.,我們提供24小時客戶服務。
session,課程、時段,The training session begins at 3 PM.,培訓課程三點開始。
set,設定、建立,Please set a password for your account.,請為你的帳號設定密碼。
setting,設定、環境,The office is in a professional setting.,辦公室位於專業環境中。
settle,解決、結算,They settled the dispute quickly.,他們迅速解決了爭議。
settlement,和解、清算,They reached a settlement yesterday.,他們昨天達成和解。
several,數個,I’ve called him several times.,我打過他好幾次電話。
share,分享、股份,She shared the file with her team.,她與團隊分享了檔案。
shareholder,股東,The shareholders will meet next week.,股東們下週開會。
shift,輪班、轉移,He works the night shift.,他上夜班。
shipping,運送,Free shipping is included.,包含免費運送。
shortage,缺乏,There is a shortage of materials.,材料短缺中。
short-term,短期的,We need a short-term solution.,我們需要短期解決方案。
showcase,展示,The event showcases new technology.,此活動展示新科技。
sign,簽名、標誌,Please sign the agreement.,請簽署協議。
signature,簽名,Your signature is required here.,請在此簽名。
significant,重要的、顯著的,There was a significant change in policy.,政策有明顯變動。
simplify,簡化,We need to simplify the application process.,我們需要簡化申請流程。
simulation,模擬,The training includes a sales simulation.,培訓中包含銷售模擬。
simultaneous,同時的,The meetings were held simultaneously.,會議同時舉行。
site,現場、網站,The construction site is off-limits.,建築工地禁止進入。
situation,情況,We’re monitoring the financial situation closely.,我們正密切關注財務狀況。
skill,技能,Communication is a key skill in this job.,溝通是這份工作的關鍵技能。
skilled,熟練的,We are looking for skilled workers.,我們正在找熟練工人。
solution,解決方案,We need a long-term solution.,我們需要一個長期的解決方案。
solve,解決,They solved the issue quickly.,他們很快解決了這個問題。
source,來源,What's the source of this information?,這資訊的來源是什麼？
space,空間,We don’t have enough office space.,我們的辦公空間不足。
speak,說話,She will speak at the seminar.,她將在研討會上發言。
speaker,講者、演講者,The keynote speaker is from Japan.,主講人來自日本。
specialize,專門從事,The firm specializes in tax law.,該公司專精於稅法。
specific,特定的,Please provide a specific example.,請提供一個具體的例子。
specification,規格,The product meets all safety specifications.,該產品符合所有安全規格。
specify,明確說明,Please specify your preferences.,請明確說明你的偏好。
speech,演講,He gave an inspiring speech.,他發表了一場激勵人心的演講。
speed,速度,The delivery was completed at record speed.,配送以破紀錄的速度完成。
sponsor,贊助、贊助者,The event was sponsored by a tech company.,這活動由一間科技公司贊助。
sponsorship,贊助金,They secured major sponsorship for the event.,他們為活動爭取到重要贊助金。
staff,員工、職員,The staff meeting starts at 9 a.m.,員工會議於早上九點開始。
stage,階段,We are in the early stage of the project.,我們處於專案的初期階段。
standard,標準,Our service meets industry standards.,我們的服務符合業界標準。
start-up,新創公司,He launched a successful start-up.,他創辦了一家成功的新創公司。
statement,聲明、報表,Please review your bank statement.,請查看你的銀行對帳單。
statistic,統計數據,Recent statistics show a decline in sales.,最近的統計顯示銷售下滑。
status,狀態、地位,Check the shipping status online.,在線上查詢配送狀態。
stay,停留、保持,I’ll stay in Taipei for one more week.,我會再在台北待一週。
stock,庫存、股票,We are low on stock.,我們的庫存不足。
storage,儲存、儲藏室,We need more storage space.,我們需要更多儲藏空間。
store,商店、儲存,This data is stored securely.,這些資料被安全地儲存。
strategy,策略,What’s your marketing strategy?,你的行銷策略是什麼？
strategic,策略性的,We made a strategic decision.,我們做出了一個策略性決定。
streamline,簡化、精簡,We aim to streamline the workflow.,我們目標是精簡工作流程。
strength,優勢、強項,Her strength is in negotiation.,她的強項是談判。
stress,壓力,Work-related stress is common.,工作壓力很常見。
strict,嚴格的,The policy is very strict.,該政策非常嚴格。
structure,結構、架構,The company changed its management structure.,公司改變了管理架構。
study,研究、學習,The study shows an increase in demand.,研究顯示需求上升。
subject,主題、科目,Let’s stay on the subject.,讓我們專注於這個主題。
submit,提交,Please submit your report by Monday.,請於週一前提交報告。
submission,提交物、呈交,Late submissions will not be accepted.,遲交的文件將不被接受。
subscribe,訂閱,You can subscribe to our newsletter.,你可以訂閱我們的電子報。
subscription,訂閱費、服務,Your subscription has expired.,你的訂閱已過期。
subsidiary,子公司,They opened a new subsidiary in Singapore.,他們在新加坡開設了一家子公司。
substitute,替代人選、替補品,We’ll find a substitute speaker.,我們會找到替代講者。
succeed,成功、繼任,She succeeded her father as CEO.,她接替父親成為執行長。
success,成功,The event was a great success.,活動非常成功。
successful,成功的,He is a successful entrepreneur.,他是一位成功的企業家。
suggestion,建議,Do you have any suggestions?,你有什麼建議嗎？
table,桌子、表格,He created a table of the sales data.,他製作了一張銷售數據表。
take,拿、接受,She took the documents to the manager.,她把文件拿給經理。
talent,人才、才能,The company is looking for new talent.,公司正在尋找新人才。
target,目標,We reached our sales target this quarter.,這一季我們達成了銷售目標。
task,任務,He completed the task ahead of schedule.,他提前完成了任務。
tax,稅,They offer free tax consultation.,他們提供免費的稅務諮詢。
team,團隊,Our team won the best project award.,我們團隊獲得最佳專案獎。
technical,技術的,We need technical support for the software.,我們需要這套軟體的技術支援。
technology,科技,New technology is transforming our industry.,新科技正在改變我們的產業。
telephone,電話,He answered the telephone promptly.,他迅速接聽了電話。
television,電視,We saw the ad on television.,我們在電視上看到那則廣告。
template,範本,Use the standard template for the report.,報告請使用標準範本。
temporary,暫時的,He has a temporary position in the firm.,他在公司任職暫時性職位。
tend,傾向,They tend to choose cheaper options.,他們傾向選擇較便宜的選項。
term,條件、術語,The contract includes payment terms.,合約包含付款條件。
terminal,終端機、航廈,Go to Terminal 2 for international flights.,國際航班請到第二航廈。
terminate,終止,They decided to terminate the agreement.,他們決定終止這項協議。
territory,領域、區域,He manages the Asian sales territory.,他負責亞洲地區的銷售。
test,測試,We are running a system test.,我們正在進行系統測試。
text,文字、簡訊,I sent you a text this morning.,我今天早上傳了簡訊給你。
thank,感謝,I want to thank you for your support.,我想感謝你的支持。
theory,理論,His theory explains the market behavior.,他的理論解釋了市場行為。
thing,事情、東西,That’s the most important thing right now.,那是現在最重要的事情。
think,想、認為,I think we should postpone the launch.,我認為我們應該延後發表。
third,第三,He came in third place in the competition.,他在比賽中獲得第三名。
thorough,徹底的,We conducted a thorough investigation.,我們進行了徹底的調查。
though,雖然,"Though it rained, the event was a success.",雖然下雨，活動仍成功舉行。
thought,想法,She shared her thoughts during the meeting.,她在會議中分享了她的想法。
threat,威脅,Cyber attacks are a serious threat.,網路攻擊是一大威脅。
threshold,門檻,They reached the minimum sales threshold.,他們達到了最低銷售門檻。
ticket,票、罰單,I booked a flight ticket to Tokyo.,我訂了一張飛往東京的機票。
tie,關係、領帶,We have strong ties with our partners.,我們與合作夥伴關係密切。
tight,緊的、緊湊的,We are on a tight schedule.,我們的時程非常緊湊。
time,時間,Time is money.,時間就是金錢。
timeline,時間表,The project timeline was extended.,專案的時間表延長了。
timely,及時的,We received a timely response.,我們收到了及時的回應。
tip,訣竅、小費,Here are some useful tips for interviews.,這裡有一些面試訣竅。
title,職稱、標題,Her job title is ‘Marketing Director’.,她的職稱是「行銷總監」。
tool,工具,Use this tool to analyze data.,使用這個工具來分析資料。
topic,主題,Let’s move to the next topic.,我們來談下一個主題。
total,總共,The total cost is $500.,總費用是500元。
tough,困難的、堅強的,This is a tough decision to make.,這是一個艱難的決定。
tour,參觀、旅遊,We went on a factory tour.,我們參觀了工廠。
track,追蹤、軌道,We are tracking the shipment.,我們正在追蹤貨物。
trade,貿易,The company is involved in international trade.,這家公司從事國際貿易。
traffic,交通、流量,There’s heavy traffic this morning.,今天早上交通很擁擠。
training,訓練,All staff must complete the safety training.,所有員工都必須完成安全訓練。
transaction,交易,The transaction was completed successfully.,這筆交易成功完成。
transfer,轉移、轉帳,He was transferred to the Tokyo office.,他被調到東京辦公室。
transition,轉變,The company is undergoing a digital transition.,公司正進行數位轉型。
tool,工具,Use this tool to analyze data.,使用這個工具來分析資料。
topic,主題,Let’s move to the next topic.,我們來談下一個主題。
total,總共,The total cost is $500.,總費用是500元。
tough,困難的、堅強的,This is a tough decision to make.,這是一個艱難的決定。
tour,參觀、旅遊,We went on a factory tour.,我們參觀了工廠。
track,追蹤、軌道,We are tracking the shipment.,我們正在追蹤貨物。
trade,貿易,The company is involved in international trade.,這家公司從事國際貿易。
traffic,交通、流量,There’s heavy traffic this morning.,今天早上交通很擁擠。
training,訓練,All staff must complete the safety training.,所有員工都必須完成安全訓練。
transaction,交易,The transaction was completed successfully.,這筆交易成功完成。
transfer,轉移、轉帳,He was transferred to the Tokyo office.,他被調到東京辦公室。
transition,轉變,The company is undergoing a digital transition.,公司正進行數位轉型。
translate,翻譯,Can you translate this sentence?,你可以翻譯這句話嗎？
translation,翻譯（名詞）,We need a clear translation of this text.,我們需要清楚的翻譯。
transport,運輸,The goods were transported by air.,貨物是透過空運運送的。
transportation,運輸工具,Public transportation saves time.,大眾運輸省時又方便。
travel,旅行,I love to travel to new places.,我喜歡去新的地方旅行。
treat,對待、治療,She treated us to lunch.,她請我們吃午餐。
treatment,治療、處理,He is under medical treatment.,他正在接受治療。
trend,趨勢,E-commerce is a growing trend.,電子商務是一個日益成長的趨勢。
trial,試用,The product comes with a free trial.,這個產品附有免費試用。
trip,旅行,We planned a weekend trip.,我們計畫了週末旅行。
trouble,麻煩,He got into trouble at work.,他在工作上惹了麻煩。
truck,卡車,The truck carried heavy equipment.,卡車載著重型設備。
TRUE,正確的,It’s true that she resigned.,她辭職這件事是真的。
trust,信任,Trust is vital in business.,在商業中，信任是至關重要的。
try,嘗試,I’ll try calling again later.,我晚點會再試著打電話。
turn,轉動、輪到,Turn the knob clockwise.,將旋鈕順時針轉動。
type,類型、打字,What type of music do you like?,你喜歡什麼類型的音樂？
typical,典型的,It was a typical Monday morning.,那是一個典型的星期一早上。
typing,打字,Typing speed matters in data entry jobs.,輸入工作中，打字速度很重要。
timetable,時間表,The class timetable has changed.,課程時間表變更了。
tolerance,容忍度,The system has a low tolerance for errors.,這個系統對錯誤的容忍度很低。
toolbox,工具箱,He opened the toolbox to get a wrench.,他打開工具箱拿出一把扳手。
token,象徵、代幣,Please accept this token of appreciation.,請接受這份感謝的小禮物。
toll,通行費、傷亡,The toll fee is collected at the gate.,通行費在收費站收取。
tone,語氣、音調,Her tone was cold and formal.,她的語氣冷淡而正式。
top,頂部、最高的,She ranked top in the class.,她在班上排名第一。
topic,主題,Let’s focus on today’s topic.,我們來專注今天的主題。
total,總共,The total comes to $250.,總共是250元。
tough,困難的、堅韌的,This exam is really tough.,這場考試真的很難。
ultimate,最終的、極限的,Our ultimate goal is customer satisfaction.,我們最終的目標是顧客滿意。
umbrella,雨傘、保護傘,Our brand works under the umbrella of a parent company.,我們的品牌在母公司旗下運營。
unable,無法的,She is unable to attend the meeting.,她無法參加會議。
unavailable,無法取得的,The manager is currently unavailable.,經理目前無法接聽。
uncertain,不確定的,The outcome is still uncertain.,結果仍不確定。
unclear,不清楚的,The instructions were unclear.,指示不夠清楚。
uncomfortable,不舒服的,The chair was uncomfortable to sit in.,這張椅子坐起來不舒服。
uncommon,罕見的,It’s uncommon to see snow here.,這裡下雪是罕見的。
undergo,經歷,The company is undergoing restructuring.,公司正在進行重組。
understand,理解,I understand your concerns.,我了解你的擔憂。
understanding,理解、體諒,We appreciate your understanding.,感謝您的體諒。
undergraduate,大學部學生,He is an undergraduate in business.,他是商業科系的大學生。
underground,地下的,The parking garage is underground.,停車場在地下。
underline,強調,Please underline the key points.,請劃出重點。
underlying,潛在的,The underlying issue is communication.,潛在問題是溝通。
undermine,削弱、破壞,His comments undermine our efforts.,他的評論削弱了我們的努力。
undo,復原,You can undo the last action.,你可以復原上一步操作。
unemployed,失業的,He’s currently unemployed.,他目前失業中。
unemployment,失業,Unemployment has decreased this year.,今年失業率下降了。
unexpected,意外的,We had an unexpected visitor.,我們有位意外的訪客。
unfair,不公平的,It’s unfair to judge without knowing the facts.,在不知道事實的情況下評判是不公平的。
unfamiliar,不熟悉的,I'm unfamiliar with this software.,我對這套軟體不熟悉。
unfinished,未完成的,The report is still unfinished.,報告仍未完成。
unfortunate,不幸的,It was an unfortunate mistake.,那是個不幸的錯誤。
unfortunately,不幸地,"Unfortunately, the file was deleted.",不幸地，那個檔案被刪除了。
uniform,制服,All staff must wear a uniform.,所有員工都必須穿制服。
union,工會、聯盟,The workers formed a new union.,工人們成立了一個新工會。
unique,獨特的,Each product has a unique code.,每個產品都有一個獨特的編碼。
unit,單位,Each unit costs $10.,每單位成本為10美元。
unite,團結、聯合,We must unite to face the challenge.,我們必須團結面對挑戰。
united,聯合的、統一的,They presented a united front.,他們展現出團結一致的態度。
unity,團結、統一,National unity is important.,國家團結很重要。
universal,普遍的,Global warming is a universal concern.,全球暖化是普遍關注的議題。
universe,宇宙,The universe is vast and mysterious.,宇宙廣大而神秘。
university,大學,She graduated from a top university.,她畢業於一所頂尖大學。
unjust,不公正的,The decision was completely unjust.,這個決定完全不公正。
unknown,未知的,The sender of the package is unknown.,包裹的寄件人不明。
unless,除非,You won’t pass unless you study.,除非你讀書，不然不會及格。
unlike,不像,"Unlike her brother, she is very organized.",她和她哥哥不同，非常有條理。
unlikely,不太可能,It’s unlikely to rain today.,今天不太可能下雨。
unlimited,無限制的,This plan offers unlimited data.,這個方案提供無限數據。
unlock,解鎖,He forgot how to unlock the phone.,他忘記怎麼解鎖手機。
unnecessary,不必要的,That step is unnecessary.,那個步驟是多餘的。
unpack,解開、打開包裹,He unpacked his suitcase quickly.,他迅速打開了行李箱。
unpredictable,不可預測的,The weather has been unpredictable.,天氣一直變化莫測。
unproductive,無成效的,The meeting was unproductive.,這場會議沒什麼成效。
unqualified,不合格的,She was unqualified for the position.,她不符合這個職位的資格。
unrelated,無關的,That’s unrelated to the discussion.,那和討論內容無關。
unreliable,不可靠的,The data source is unreliable.,這個資料來源不可靠。
unrest,動盪、不安,The political unrest affected the economy.,政治動盪影響了經濟。
unsafe,不安全的,This equipment is unsafe to use.,這設備使用起來不安全。
unsatisfied,不滿意的,Customers were unsatisfied with the service.,顧客對服務感到不滿。
unscheduled,未排程的,We had an unscheduled meeting today.,我們今天有場臨時會議。
unsuccessful,不成功的,The campaign was unsuccessful.,這次活動沒有成功。
untidy,凌亂的,His desk is always untidy.,他的桌子總是很亂。
unusual,不尋常的,It’s unusual to see him late.,他遲到是很不尋常的事。
unveil,揭露、發表,The company will unveil its new product.,公司將發表新產品。
update,更新,We need to update the system.,我們需要更新系統。
upgrade,升級,They upgraded the software last week.,他們上週升級了軟體。
upload,上傳,Please upload the file before noon.,請在中午前上傳檔案。
upon,一…就…,"Upon arrival, please check in at the front desk.",一到達，請先到前台報到。
upper,上方的,The upper floor is under renovation.,上層正在整修中。
upset,心煩的、使不安,He was upset about the delay.,他對延誤感到不悅。
urban,都市的,Urban development is increasing.,都市開發正在加速。
urge,敦促、衝動,I urge you to read the contract carefully.,我敦促你仔細閱讀合約。
urgent,緊急的,This is an urgent matter.,這是緊急的事。
usage,使用、用法,The usage of this word is outdated.,這個字的用法已過時。
use,使用,Can I use your phone?,我可以用一下你的手機嗎？
useful,有用的,This guide is very useful.,這份指南非常有用。
useless,沒用的,That solution is useless in this case.,那個解法在這種情況下沒用。
